"","Kernel_ID","AF.ppb.","FM.ppm.","plate","kernel","<LOD.AF","<LOD.FM","AF_class","FM_class"
"84","102-36",4.122320074,0.091535142,102,36,0,1,"L","L"
"85","102-37",4.122320074,0.091535142,102,37,0,1,"L","L"
"86","102-38",4.122320074,0.091535142,102,38,0,1,"L","L"
"87","102-39",4.122320074,0.091535142,102,39,0,1,"L","L"
"88","102-40",4.122320074,0.091535142,102,40,0,1,"L","L"
"89","102-41",4.537055782,0.091535142,102,41,0,1,"L","L"
"90","102-42",4.537055782,0.091535142,102,42,0,1,"L","L"
"91","102-43",4.537055782,0.091535142,102,43,0,1,"L","L"
"92","102-44",4.537055782,0.091535142,102,44,0,1,"L","L"
"93","102-45",4.537055782,0.091535142,102,45,0,1,"L","L"
"94","102-46",4.537055782,0.091535142,102,46,0,1,"L","L"
"95","102-47",4.537055782,0.091535142,102,47,0,1,"L","L"
"96","102-48",4.537055782,0.091535142,102,48,0,1,"L","L"
"97","201-1",7.822066241,0.4167406,201,1,0,0,"L","L"
"98","201-2",7.822066241,0.3296671,201,2,0,0,"L","L"
"99","201-3",7.822066241,0.2613043,201,3,0,0,"L","L"
"100","201-4",7.822066241,0.0668732,201,4,0,1,"L","L"
"101","201-5",7.822066241,199.7075314,201,5,0,0,"L","H"
"102","201-6",7.822066241,0.4447903,201,6,0,0,"L","L"
"103","201-7",7.822066241,0.2787129,201,7,0,0,"L","L"
"104","201-8",7.822066241,0.1023543,201,8,0,1,"L","L"
"105","201-9",6.736644676,0.2193535,201,9,0,0,"L","L"
"106","201-10",6.736644676,0.1270994,201,10,0,0,"L","L"
"107","201-11",6.736644676,0.1104192,201,11,0,0,"L","L"
"108","201-12",6.736644676,0.1372555,201,12,0,0,"L","L"
"109","201-13",6.736644676,105.738997,201,13,0,0,"L","H"
"110","201-14",6.736644676,0.1023543,201,14,0,1,"L","L"
"111","201-15",6.736644676,0.097003753,201,15,0,1,"L","L"
"112","201-16",6.736644676,1.029403408,201,16,0,0,"L","M"
"113","201-17",4.834691459,0.091535142,201,17,0,1,"L","L"
"114","201-18",4.834691459,0.091535142,201,18,0,1,"L","L"
"115","201-19",4.834691459,0.091535142,201,19,0,1,"L","L"
"116","201-20",4.834691459,0.091535142,201,20,0,1,"L","L"
"117","201-21",4.834691459,0.091535142,201,21,0,1,"L","L"
"118","201-22",4.834691459,0.091535142,201,22,0,1,"L","L"
"119","201-23",4.834691459,0.091535142,201,23,0,1,"L","L"
"120","201-24",4.834691459,0.091535142,201,24,0,1,"L","L"
"121","201-25",5.294376519,0.091535142,201,25,0,1,"L","L"
"122","201-26",5.294376519,0.091535142,201,26,0,1,"L","L"
"123","201-27",5.294376519,0.091535142,201,27,0,1,"L","L"
"124","201-28",5.294376519,0.091535142,201,28,0,1,"L","L"
"125","201-29",5.294376519,0.091535142,201,29,0,1,"L","L"
"126","201-30",5.294376519,0.091535142,201,30,0,1,"L","L"
"127","201-31",5.294376519,0.091535142,201,31,0,1,"L","L"
"128","201-32",5.294376519,0.091535142,201,32,0,1,"L","L"
"129","201-33",5.111203798,0.091535142,201,33,0,1,"L","L"
"130","201-34",5.111203798,0.091535142,201,34,0,1,"L","L"
"131","201-35",5.111203798,0.091535142,201,35,0,1,"L","L"
"132","201-36",5.111203798,0.091535142,201,36,0,1,"L","L"
"133","201-37",5.111203798,0.091535142,201,37,0,1,"L","L"
"134","201-38",5.111203798,0.091535142,201,38,0,1,"L","L"
"135","201-39",5.111203798,0.091535142,201,39,0,1,"L","L"
"136","201-40",5.111203798,0.091535142,201,40,0,1,"L","L"
"137","201-41",9.602074737,0.091535142,201,41,0,1,"L","L"
"138","201-42",9.602074737,0.091535142,201,42,0,1,"L","L"
"139","201-43",9.602074737,0.091535142,201,43,0,1,"L","L"
"140","201-44",9.602074737,0.091535142,201,44,0,1,"L","L"
"141","201-45",9.602074737,0.091535142,201,45,0,1,"L","L"
"142","201-46",9.602074737,0.091535142,201,46,0,1,"L","L"
"143","201-47",9.602074737,0.091535142,201,47,0,1,"L","L"
"144","201-48",9.602074737,0.091535142,201,48,0,1,"L","L"
"145","301-1",6.694663325,753.6807,301,1,1,0,"L","H"
"146","301-2",6.694663325,73.3322,301,2,1,0,"L","H"
"147","301-3",6.694663325,0.08539563,301,3,1,1,"L","L"
"148","301-4",6.694663325,0.08539563,301,4,1,1,"L","L"
"149","301-5",6.694663325,0.060562184,301,5,1,1,"L","L"
"150","301-6",6.694663325,0.060562184,301,6,1,1,"L","L"
"151","301-7",6.694663325,0.060562184,301,7,1,1,"L","L"
"152","301-8",6.694663325,0.08539563,301,8,1,1,"L","L"
"153","301-9",6.694663325,0.08539563,301,9,1,1,"L","L"
"154","301-10",6.694663325,0.060562184,301,10,1,1,"L","L"
"155","301-11",6.694663325,0.08539563,301,11,1,1,"L","L"
"156","301-12",6.694663325,0.060562184,301,12,1,1,"L","L"
"157","301-13",6.694663325,0.08539563,301,13,1,1,"L","L"
"158","301-14",6.694663325,0.08539563,301,14,1,1,"L","L"
"159","301-15",6.694663325,0.060562184,301,15,1,1,"L","L"
"160","301-16",6.694663325,0.08539563,301,16,1,1,"L","L"
"161","301-17",6.694663325,0.060562184,301,17,1,1,"L","L"
"162","301-18",6.694663325,0.060562184,301,18,1,1,"L","L"
"163","301-19",6.694663325,22.67154,301,19,1,0,"L","H"
"164","301-20",6.694663325,39.78816,301,20,1,0,"L","H"
"165","301-21",6.694663325,0.08539563,301,21,1,1,"L","L"
"166","301-22",6.694663325,0.060562184,301,22,1,1,"L","L"
"167","301-23",6.694663325,0.08539563,301,23,1,1,"L","L"
"168","301-24",6.694663325,0.060562184,301,24,1,1,"L","L"
"169","301-25",6.694663325,0.08539563,301,25,1,1,"L","L"
"170","301-26",6.694663325,0.08539563,301,26,1,1,"L","L"
"171","301-27",6.694663325,0.060562184,301,27,1,1,"L","L"
"172","301-28",6.694663325,0.08539563,301,28,1,1,"L","L"
"173","301-29",6.694663325,58.12438,301,29,1,0,"L","H"
"174","301-30",6.694663325,0.060562184,301,30,1,1,"L","L"
"175","301-31",6.694663325,0.08539563,301,31,1,1,"L","L"
"176","301-32",6.694663325,0.060562184,301,32,1,1,"L","L"
"177","301-33",6.694663325,2.169302,301,33,1,0,"L","M"
"178","301-34",6.694663325,0.060562184,301,34,1,1,"L","L"
"179","301-35",6.694663325,31.07395,301,35,1,0,"L","H"
"180","301-36",6.694663325,0.060562184,301,36,1,1,"L","L"
"181","301-37",6.694663325,0.060562184,301,37,1,1,"L","L"
"182","301-38",6.694663325,20.82947,301,38,1,0,"L","H"
"183","301-39",6.694663325,0.060562184,301,39,1,1,"L","L"
"184","301-40",6.694663325,0.08539563,301,40,1,1,"L","L"
"185","301-41",6.694663325,28.01683,301,41,1,0,"L","H"
"186","301-42",6.694663325,90.26369,301,42,1,0,"L","H"
"187","301-43",6.694663325,146.8968,301,43,1,0,"L","H"
"188","301-44",6.694663325,0.060562184,301,44,1,1,"L","L"
"189","301-45",6.694663325,33.15919,301,45,1,0,"L","H"
"190","301-46",6.694663325,217.2579,301,46,1,0,"L","H"
"191","301-47",6.694663325,783.9012,301,47,1,0,"L","H"
"192","301-48",6.694663325,474.7013,301,48,1,0,"L","H"
"193","401-1",3.445325663,0.091535142,401,1,0,1,"L","L"
"194","401-2",3.445325663,0.091535142,401,2,0,1,"L","L"
"195","401-3",3.445325663,0.091535142,401,3,0,1,"L","L"
"196","401-4",3.445325663,0.091535142,401,4,0,1,"L","L"
"197","401-5",3.445325663,0.091535142,401,5,0,1,"L","L"
"198","401-6",3.445325663,0.091535142,401,6,0,1,"L","L"
"199","401-7",3.445325663,0.091535142,401,7,0,1,"L","L"
"200","401-8",3.445325663,0.091535142,401,8,0,1,"L","L"
"201","401-9",5.47672664,0.091535142,401,9,0,1,"L","L"
"202","401-10",5.47672664,0.091535142,401,10,0,1,"L","L"
"203","401-11",5.47672664,0.091535142,401,11,0,1,"L","L"
"204","401-12",5.47672664,0.091535142,401,12,0,1,"L","L"
"205","401-13",5.47672664,0.091535142,401,13,0,1,"L","L"
"206","401-14",5.47672664,0.091535142,401,14,0,1,"L","L"
"207","401-15",5.47672664,0.091535142,401,15,0,1,"L","L"
"208","401-16",5.47672664,0.091535142,401,16,0,1,"L","L"
"209","401-17",3.912109749,0.091535142,401,17,0,1,"L","L"
"210","401-18",3.912109749,0.091535142,401,18,0,1,"L","L"
"211","401-19",3.912109749,0.091535142,401,19,0,1,"L","L"
"212","401-20",3.912109749,0.091535142,401,20,0,1,"L","L"
"213","401-21",3.912109749,0.091535142,401,21,0,1,"L","L"
"214","401-22",3.912109749,0.091535142,401,22,0,1,"L","L"
"215","401-23",3.912109749,0.091535142,401,23,0,1,"L","L"
"216","401-24",3.912109749,0.091535142,401,24,0,1,"L","L"
"217","401-25",1.91282869,0.091535142,401,25,0,1,"L","L"
"218","401-26",1.91282869,0.091535142,401,26,0,1,"L","L"
"219","401-27",1.91282869,0.091535142,401,27,0,1,"L","L"
"220","401-28",1.91282869,0.091535142,401,28,0,1,"L","L"
"221","401-29",1.91282869,0.091535142,401,29,0,1,"L","L"
"222","401-30",1.91282869,0.091535142,401,30,0,1,"L","L"
"223","401-31",1.91282869,0.091535142,401,31,0,1,"L","L"
"224","401-32",1.91282869,0.091535142,401,32,0,1,"L","L"
"225","401-33",0.470044166,0.091535142,401,33,0,1,"L","L"
"226","401-34",0.470044166,0.091535142,401,34,0,1,"L","L"
"227","401-35",0.470044166,0.091535142,401,35,0,1,"L","L"
"228","401-36",0.470044166,0.091535142,401,36,0,1,"L","L"
"229","401-37",0.470044166,0.091535142,401,37,0,1,"L","L"
"230","401-38",0.470044166,0.091535142,401,38,0,1,"L","L"
"231","401-39",0.470044166,0.091535142,401,39,0,1,"L","L"
"232","401-40",0.470044166,0.091535142,401,40,0,1,"L","L"
"233","401-41",8.87059579,0.091535142,401,41,0,1,"L","L"
"234","401-42",8.87059579,0.091535142,401,42,0,1,"L","L"
"235","401-43",8.87059579,0.091535142,401,43,0,1,"L","L"
"236","401-44",8.87059579,0.091535142,401,44,0,1,"L","L"
"237","401-45",8.87059579,0.091535142,401,45,0,1,"L","L"
"238","401-46",8.87059579,0.091535142,401,46,0,1,"L","L"
"239","401-47",8.87059579,0.091535142,401,47,0,1,"L","L"
"240","401-48",8.87059579,0.091535142,401,48,0,1,"L","L"
"241","501-1",6.694663325,0.060562184,501,1,1,1,"L","L"
"242","501-2",6.694663325,77.47656,501,2,1,0,"L","H"
"243","501-3",6.694663325,0.060562184,501,3,1,1,"L","L"
"244","501-4",6.694663325,0.060562184,501,4,1,1,"L","L"
"245","501-5",6.694663325,0.060562184,501,5,1,1,"L","L"
"246","501-6",6.694663325,0.060562184,501,6,1,1,"L","L"
"247","501-7",6.694663325,0.060562184,501,7,1,1,"L","L"
"248","501-8",6.694663325,22.2737,501,8,1,0,"L","H"
"249","501-9",6.694663325,0.060562184,501,9,1,1,"L","L"
"250","501-10",6.694663325,0.060562184,501,10,1,1,"L","L"
"251","501-11",6.694663325,0.060562184,501,11,1,1,"L","L"
"252","501-12",6.694663325,0.060562184,501,12,1,1,"L","L"
"253","501-13",6.694663325,0.060562184,501,13,1,1,"L","L"
"254","501-14",6.694663325,0.060562184,501,14,1,1,"L","L"
"255","501-15",6.694663325,0.060562184,501,15,1,1,"L","L"
"256","501-16",6.694663325,0.060562184,501,16,1,1,"L","L"
"257","501-17",6.694663325,0.060562184,501,17,1,1,"L","L"
"258","501-18",6.694663325,0.060562184,501,18,1,1,"L","L"
"259","501-19",6.694663325,0.060562184,501,19,1,1,"L","L"
"260","501-20",6.694663325,0.060562184,501,20,1,1,"L","L"
"261","501-21",6.694663325,0.060562184,501,21,1,1,"L","L"
"262","501-22",6.694663325,0.060562184,501,22,1,1,"L","L"
"263","501-23",6.694663325,0.060562184,501,23,1,1,"L","L"
"264","501-24",6.694663325,0.060562184,501,24,1,1,"L","L"
"265","501-25",6.694663325,0.060562184,501,25,1,1,"L","L"
"266","501-26",6.694663325,0.060562184,501,26,1,1,"L","L"
"267","501-27",6.694663325,0.060562184,501,27,1,1,"L","L"
"268","501-28",6.694663325,0.060562184,501,28,1,1,"L","L"
"269","501-29",6.694663325,0.060562184,501,29,1,1,"L","L"
"270","501-30",6.694663325,0.060562184,501,30,1,1,"L","L"
"271","501-31",6.694663325,0.060562184,501,31,1,1,"L","L"
"272","501-32",6.694663325,0.060562184,501,32,1,1,"L","L"
"273","501-33",6.694663325,0.060562184,501,33,1,1,"L","L"
"274","501-34",6.694663325,0.060562184,501,34,1,1,"L","L"
"275","501-35",6.694663325,0.060562184,501,35,1,1,"L","L"
"276","501-36",6.694663325,0.060562184,501,36,1,1,"L","L"
"277","501-37",6.694663325,0.060562184,501,37,1,1,"L","L"
"278","501-38",6.694663325,0.060562184,501,38,1,1,"L","L"
"279","501-39",6.694663325,0.060562184,501,39,1,1,"L","L"
"280","501-40",6.694663325,0.060562184,501,40,1,1,"L","L"
"281","501-41",6.694663325,0.060562184,501,41,1,1,"L","L"
"282","501-42",6.694663325,0.060562184,501,42,1,1,"L","L"
"283","501-43",6.694663325,64.79551,501,43,1,0,"L","H"
"284","501-44",6.694663325,0.060562184,501,44,1,1,"L","L"
"285","501-45",6.694663325,0.060562184,501,45,1,1,"L","L"
"286","501-46",6.694663325,0.060562184,501,46,1,1,"L","L"
"287","501-47",6.694663325,0.060562184,501,47,1,1,"L","L"
"288","501-48",6.694663325,0.060562184,501,48,1,1,"L","L"
"289","601-1",6.694663325,0.060562184,601,1,1,1,"L","L"
"290","601-2",6.694663325,0.060562184,601,2,1,1,"L","L"
"291","601-3",6.694663325,0.060562184,601,3,1,1,"L","L"
"292","601-4",6.694663325,24.98393,601,4,1,0,"L","H"
"293","601-5",6.694663325,23.71118,601,5,1,0,"L","H"
"294","601-6",6.694663325,0.060562184,601,6,1,1,"L","L"
"295","601-7",6.694663325,0.060562184,601,7,1,1,"L","L"
"296","601-8",6.694663325,0.060562184,601,8,1,1,"L","L"
"297","601-9",6.694663325,0.060562184,601,9,1,1,"L","L"
"298","601-10",6.694663325,0.060562184,601,10,1,1,"L","L"
"299","601-11",6.694663325,56.47591,601,11,1,0,"L","H"
"300","601-12",6.694663325,0.060562184,601,12,1,1,"L","L"
"301","601-13",6.694663325,0.060562184,601,13,1,1,"L","L"
"302","601-14",6.694663325,0.060562184,601,14,1,1,"L","L"
"303","601-15",6.694663325,0.060562184,601,15,1,1,"L","L"
"304","601-16",6.694663325,24.07852,601,16,1,0,"L","H"
"305","601-17",6.694663325,0.060562184,601,17,1,1,"L","L"
"306","601-18",6.694663325,0.060562184,601,18,1,1,"L","L"
"307","601-19",6.694663325,0.060562184,601,19,1,1,"L","L"
"308","601-20",6.694663325,0.060562184,601,20,1,1,"L","L"
"309","601-21",6.694663325,0.060562184,601,21,1,1,"L","L"
"310","601-22",6.694663325,0.060562184,601,22,1,1,"L","L"
"311","601-23",6.694663325,0.060562184,601,23,1,1,"L","L"
"312","601-24",6.694663325,0.060562184,601,24,1,1,"L","L"
"313","601-25",6.694663325,0.060562184,601,25,1,1,"L","L"
"314","601-26",6.694663325,0.060562184,601,26,1,1,"L","L"
"315","601-27",6.694663325,0.060562184,601,27,1,1,"L","L"
"316","601-28",6.694663325,0.060562184,601,28,1,1,"L","L"
"317","601-29",6.694663325,0.060562184,601,29,1,1,"L","L"
"318","601-30",6.694663325,0.060562184,601,30,1,1,"L","L"
"319","601-31",6.694663325,0.060562184,601,31,1,1,"L","L"
"320","601-32",6.694663325,0.060562184,601,32,1,1,"L","L"
"321","601-33",6.694663325,0.060562184,601,33,1,1,"L","L"
"322","601-34",6.694663325,0.060562184,601,34,1,1,"L","L"
"323","601-35",6.694663325,0.060562184,601,35,1,1,"L","L"
"324","601-36",6.694663325,0.060562184,601,36,1,1,"L","L"
"325","601-37",6.694663325,0.060562184,601,37,1,1,"L","L"
"326","601-38",6.694663325,0.060562184,601,38,1,1,"L","L"
"327","601-39",6.694663325,0.060562184,601,39,1,1,"L","L"
"328","601-40",6.694663325,0.060562184,601,40,1,1,"L","L"
"329","601-41",6.694663325,0.060562184,601,41,1,1,"L","L"
"330","601-42",6.694663325,0.060562184,601,42,1,1,"L","L"
"331","601-43",6.694663325,0.060562184,601,43,1,1,"L","L"
"332","601-44",6.694663325,0.060562184,601,44,1,1,"L","L"
"333","601-45",6.694663325,0.060562184,601,45,1,1,"L","L"
"334","601-46",6.694663325,0.060562184,601,46,1,1,"L","L"
"335","601-47",6.694663325,0.060562184,601,47,1,1,"L","L"
"336","601-48",6.694663325,0.060562184,601,48,1,1,"L","L"
"337","701-1",7.07088928,0.761747992,701,1,1,1,"L","L"
"338","701-2",7.07088928,0.761747992,701,2,1,1,"L","L"
"339","701-3",7.07088928,0.761747992,701,3,1,1,"L","L"
"340","701-4",7.07088928,0.761747992,701,4,1,1,"L","L"
"341","701-5",7.07088928,0.761747992,701,5,1,1,"L","L"
"342","701-6",7.07088928,0.761747992,701,6,1,1,"L","L"
"343","701-7",7.07088928,0.761747992,701,7,1,1,"L","L"
"344","701-8",1.607816,0.761747992,701,8,0,1,"L","L"
"345","701-9",7.07088928,0.761747992,701,9,1,1,"L","L"
"346","701-10",7.07088928,0.761747992,701,10,1,1,"L","L"
"347","701-11",7.07088928,0.761747992,701,11,1,1,"L","L"
"348","701-12",7.07088928,0.761747992,701,12,1,1,"L","L"
"349","701-13",7.07088928,0.761747992,701,13,1,1,"L","L"
"350","701-14",7.07088928,0.761747992,701,14,1,1,"L","L"
"351","701-15",7.07088928,0.761747992,701,15,1,1,"L","L"
"352","701-16",7.07088928,0.761747992,701,16,1,1,"L","L"
"353","701-17",7.07088928,0.761747992,701,17,1,1,"L","L"
"354","701-18",7.07088928,0.761747992,701,18,1,1,"L","L"
"355","701-19",7.07088928,0.761747992,701,19,1,1,"L","L"
"356","701-20",7.07088928,0.761747992,701,20,1,1,"L","L"
"357","701-21",0.8270225,0.761747992,701,21,0,1,"L","L"
"358","701-22",1.791712,0.761747992,701,22,0,1,"L","L"
"359","701-23",7.07088928,0.761747992,701,23,1,1,"L","L"
"360","701-24",7.07088928,0.761747992,701,24,1,1,"L","L"
"361","701-25",7.07088928,0.1416644,701,25,1,1,"L","L"
"362","701-26",1.043101,0.1416644,701,26,0,1,"L","L"
"363","701-27",7.07088928,0.1416644,701,27,1,1,"L","L"
"364","701-28",7.07088928,0.1416644,701,28,1,1,"L","L"
"365","701-29",7.07088928,0.1416644,701,29,1,1,"L","L"
"366","701-30",7.07088928,0.1416644,701,30,1,1,"L","L"
"367","701-31",7.07088928,0.1416644,701,31,1,1,"L","L"
"368","701-32",7.07088928,0.1416644,701,32,1,1,"L","L"
"369","701-33",7.07088928,0.1416644,701,33,1,1,"L","L"
"370","701-34",7.07088928,0.1416644,701,34,1,1,"L","L"
"371","701-35",7.07088928,0.1416644,701,35,1,1,"L","L"
"372","701-36",7.07088928,0.1416644,701,36,1,1,"L","L"
"373","701-37",7.07088928,0.1416644,701,37,1,1,"L","L"
"374","701-38",7.07088928,0.1416644,701,38,1,1,"L","L"
"375","701-39",7.07088928,0.1416644,701,39,1,1,"L","L"
"376","701-40",7.07088928,0.1416644,701,40,1,1,"L","L"
"377","701-41",7.07088928,0.0711836,701,41,1,1,"L","L"
"378","701-42",7.07088928,0.0711836,701,42,1,1,"L","L"
"379","701-43",7.07088928,0.0711836,701,43,1,1,"L","L"
"380","701-44",0.7720029,0.0711836,701,44,0,1,"L","L"
"381","701-45",1.359413,0.0711836,701,45,0,1,"L","L"
"382","701-46",7.07088928,0.0711836,701,46,1,1,"L","L"
"383","701-47",7.07088928,0.0711836,701,47,1,1,"L","L"
"384","701-48",7.07088928,0.0711836,701,48,1,1,"L","L"
"385","801-1",0.5920791,0.03055345,801,1,1,1,"L","L"
"386","801-2",0.964713,0.002056728,801,2,1,1,"L","L"
"387","801-3",1.068901,0.0679461,801,3,1,1,"L","L"
"388","801-4",1.068901,0.1088211,801,4,1,1,"L","L"
"389","801-5",1.190249,0.007732248,801,5,0,1,"L","L"
"390","801-6",0.7301713,0.1088211,801,6,1,1,"L","L"
"391","801-7",0.6025808,4.297719,801,7,1,0,"L","H"
"392","801-8",1.213228,0.0151104,801,8,0,1,"L","L"
"393","801-9",1.116448,0.1088211,801,9,0,1,"L","L"
"394","801-10",0.7943795,0.1088211,801,10,1,1,"L","L"
"395","801-11",1.302573,0.02157888,801,11,0,1,"L","L"
"396","801-12",1.146485,0.04061105,801,12,0,1,"L","L"
"397","801-13",1.496621,0.0151104,801,13,0,1,"L","L"
"398","801-14",1.661353,0.1088211,801,14,0,1,"L","L"
"399","801-15",1.272832,0.1088211,801,15,0,1,"L","L"
"400","801-16",1.079359,0.01179294,801,16,0,1,"L","L"
"401","801-17",1.281987,35.36909,801,17,0,0,"L","H"
"402","801-18",0.5894457,0.1088211,801,18,1,1,"L","L"
"403","801-19",1.624663,0.4246334,801,19,0,0,"L","L"
"404","801-20",1.55144,2.837488,801,20,0,0,"L","M"
"405","801-21",1.894795,0.1088211,801,21,0,1,"L","L"
"406","801-22",1.263674,0.1088211,801,22,0,1,"L","L"
"407","801-23",1.336853,0.1088211,801,23,0,1,"L","L"
"408","801-24",1.512603,3.074645,801,24,0,0,"L","M"
"409","801-25",1.494338,0.1088211,801,25,0,1,"L","L"
"410","801-26",1.137251,0.1088211,801,26,0,1,"L","L"
"411","801-27",1.210932,0.1088211,801,27,0,1,"L","L"
"412","801-28",1.3848,0.1088211,801,28,0,1,"L","L"
"413","801-29",1.350556,0.1088211,801,29,0,1,"L","L"
"414","801-30",1.409902,0.1088211,801,30,0,1,"L","L"
"415","801-31",0.941072,0.1088211,801,31,1,1,"L","L"
"416","801-32",1.259093,0.1088211,801,32,0,1,"L","L"
"417","801-33",1.176445,0.0536017,801,33,0,1,"L","L"
"418","801-34",0.5841689,0.1088211,801,34,1,1,"L","L"
"419","801-35",0.8502574,0.1088211,801,35,1,1,"L","L"
"420","801-36",1.068901,0.1088211,801,36,1,1,"L","L"
